Freq.	V(vo)
Step Information: Run=1  (Run: 1/100)
7.03268644595973e+004	(-1.77973414776762e-002dB,1.75427199104560e+002°)
7.19649875705844e+004	(-1.60833178487685e-002dB,1.75243701465685e+002°)
7.36412674705506e+004	(-1.45415861288527e-002dB,1.75058174459611e+002°)
7.53565929452870e+004	(-1.31664725122183e-002dB,1.74870485394073e+002°)
7.71118734830655e+004	(-1.19528925816852e-002dB,1.74680503390060e+002°)
7.89080397568611e+004	(-1.08963154860368e-002dB,1.74488099068427e+002°)
8.07460441178071e+004	(-9.99273204394117e-003dB,1.74293144262122e+002°)
8.26268611001446e+004	(-9.23862637432564e-003dB,1.74095511751261e+002°)
8.45514879379332e+004	(-8.63095070294815e-003dB,1.73895075018628e+002°)
8.65209450937978e+004	(-8.16710303875482e-003dB,1.73691708023449e+002°)
8.85362767999911e+004	(-7.84490745079266e-003dB,1.73485284991567e+002°)
9.05985516120600e+004	(-7.66259670961741e-003dB,1.73275680220341e+002°)
9.27088629754072e+004	(-7.61879708539270e-003dB,1.73062767896801e+002°)
9.48683298050509e+004	(-7.71251512001223e-003dB,1.72846421927761e+002°)
9.70780970788880e+004	(-7.94312621219528e-003dB,1.72626515780722e+002°)
9.93393364447768e+004	(-8.31036487367401e-003dB,1.72402922334565e+002°)
1.00000000000000e+005	(-8.44141397428683e-003dB,1.72337853896956e+002°)
Step Information: Run=2  (Run: 2/100)
3.00000000000000e+003	(5.40307600263491e-001dB,1.78739648893532e+002°)
3.06987897684226e+003	(5.41758617712145e-001dB,1.78708322568893e+002°)
3.14138564415270e+003	(5.43283610723581e-001dB,1.78676117446596e+002°)
3.21455791571282e+003	(5.44886639626538e-001dB,1.78643001324027e+002°)
3.28943458842955e+003	(5.46572016903548e-001dB,1.78608940268624e+002°)
3.36605536290589e+003	(5.48344325808352e-001dB,1.78573898488380e+002°)
3.44446086449065e+003	(5.50208440653346e-001dB,1.78537838190251e+002°)
3.52469266481859e+003	(5.52169548945941e-001dB,1.78500719425115e+002°)
3.60679330385224e+003	(5.54233175576555e-001dB,1.78462499917796e+002°)
3.69080631243714e+003	(5.56405209285245e-001dB,1.78423134880435e+002°)
3.77677623538250e+003	(5.58691931664315e-001dB,1.78382576807295e+002°)
3.86474865507940e+003	(5.61100048987765e-001dB,1.78340775248802e+002°)
3.95477021566922e+003	(5.63636727197039e-001dB,1.78297676562343e+002°)
4.04688864777496e+003	(5.66309630418062e-001dB,1.78253223636998e+002°)
4.14115279380865e+003	(5.69126963435471e-001dB,1.78207355588969e+002°)
4.23761263386826e+003	(5.72097518609971e-001dB,1.78160007424005e+002°)
4.33631931223778e+003	(5.75230727795428e-001dB,1.78111109662608e+002°)
4.43732516450462e+003	(5.78536719891348e-001dB,1.78060587923128e+002°)
4.54068374530862e+003	(5.82026384762612e-001dB,1.78008362457143e+002°)
4.64644985673744e+003	(5.85711444367460e-001dB,1.77954347630647e+002°)
4.75467957738334e+003	(5.89604532065257e-001dB,1.77898451343531e+002°)
4.86543029207679e+003	(5.93719281227396e-001dB,1.77840574378629e+002°)
