Freq.	V(vo)/V(vm)
6.60693448007593e+001	(-3.51449639601302e+001dB,-3.88200313228314e-001°)
6.76082975391978e+001	(-3.51454463743477e+001dB,-3.97247254694347e-001°)
6.91830970918933e+001	(-3.51459515531638e+001dB,-4.06505255637142e-001°)
7.07945784384134e+001	(-3.51464805722538e+001dB,-4.15979255869140e-001°)
7.24435960074986e+001	(-3.51470345582602e+001dB,-4.25674311962132e-001°)
7.41310241300914e+001	(-3.51476146912204e+001dB,-4.35595600089053e-001°)
7.58577575029180e+001	(-3.51482222071127e+001dB,-4.45748418941278e-001°)
7.76247116628688e+001	(-3.51488584005238e+001dB,-4.56138192722881e-001°)
7.94328234724277e+001	(-3.51495246274462e+001dB,-4.66770474225728e-001°)
8.12830516164095e+001	(-3.51502223082097e+001dB,-4.77650947985537e-001°)
8.31763771102667e+001	(-3.51509529305559e+001dB,-4.88785433525364e-001°)
8.51138038202372e+001	(-3.51517180528606e+001dB,-5.00179888684799e-001°)
8.70963589956076e+001	(-3.51525193075133e+001dB,-5.11840413042837e-001°)
8.91250938133741e+001	(-3.51533584044606e+001dB,-5.23773251433291e-001°)
9.12010839355905e+001	(-3.51542371349218e+001dB,-5.35984797558174e-001°)
9.33254300796986e+001	(-3.51551573752853e+001dB,-5.48481597702194e-001°)
9.54992586021431e+001	(-3.51561210911963e+001dB,-5.61270354551821e-001°)
9.77237220955805e+001	(-3.51571303418423e+001dB,-5.74357931122550e-001°)
9.99999999999995e+001	(-3.51581872844502e+001dB,-5.87751354798569e-001°)
1.02329299228075e+002	(-3.51592941790025e+001dB,-6.01457821488493e-001°)
1.04712854805089e+002	(-3.51604533931865e+001dB,-6.15484699903058e-001°)
1.07151930523760e+002	(-3.51616674075855e+001dB,-6.29839535956588e-001°)
1.09647819614318e+002	(-3.51629388211269e+001dB,-6.44530057300108e-001°)
1.12201845430196e+002	(-3.51642703567997e+001dB,-6.59564177989456e-001°)
1.14815362149688e+002	(-3.51656648676545e+001dB,-6.74950003294050e-001°)
1.17489755493952e+002	(-3.51671253431013e+001dB,-6.90695834652293e-001°)
1.20226443461741e+002	(-3.51686549155207e+001dB,-7.06810174779480e-001°)
1.23026877081237e+002	(-3.51702568672050e+001dB,-7.23301732935227e-001°)
1.25892541179416e+002	(-3.51719346376456e+001dB,-7.40179430354498e-001°)
1.28824955169313e+002	(-3.51736918311863e+001dB,-7.57452405854649e-001°)
1.31825673855640e+002	(-3.51755322250605e+001dB,-7.75130021619510e-001°)
1.34896288259165e+002	(-3.51774597778344e+001dB,-7.93221869173505e-001°)
1.38038426460288e+002	(-3.51794786382757e+001dB,-8.11737775552226e-001°)
1.41253754462275e+002	(-3.51815931546737e+001dB,-8.30687809679363e-001°)
1.44543977074592e+002	(-3.51838078846318e+001dB,-8.50082288957430e-001°)
1.47910838816820e+002	(-3.51861276053608e+001dB,-8.69931786085663e-001°)
1.51356124843620e+002	(-3.51885573244995e+001dB,-8.90247136113994e-001°)
1.54881661891247e+002	(-3.51911022914911e+001dB,-9.11039443743630e-001°)
1.58489319246110e+002	(-3.51937680095466e+001dB,-9.32320090890598e-001°)
1.62181009735892e+002	(-3.51965602482291e+001dB,-9.54100744520378e-001°)
1.65958690743755e+002	(-3.51994850566908e+001dB,-9.76393364770941e-001°)
1.69824365246173e+002	(-3.52025487776037e+001dB,-9.99210213378518e-001°)
1.73780082874936e+002	(-3.52057580618198e+001dB,-1.02256386242171e+000°)
1.77827941003891e+002	(-3.52091198838046e+001dB,-1.04646720340165e+000°)
1.81970085860997e+002	(-3.52126415578887e+001dB,-1.07093345667590e+000°)
1.86208713666286e+002	(-3.52163307553835e+001dB,-1.09597618126690e+000°)
1.90546071796323e+002	(-3.52201955226140e+001dB,-1.12160928506540e+000°)
1.94984459975803e+002	(-3.52242442999205e+001dB,-1.14784703545166e+000°)
1.99526231496887e+002	(-3.52284859416895e+001dB,-1.17470407036025e+000°)
2.04173794466952e+002	(-3.52329297374732e+001dB,-1.20219540981228e+000°)
2.08929613085403e+002	(-3.52375854342666e+001dB,-1.23033646794620e+000°)
2.13796208950222e+002	(-3.52424632600101e+001dB,-1.25914306557671e+000°)
2.18776162394954e+002	(-3.52475739483955e+001dB,-1.28863144331375e+000°)
2.23872113856832e+002	(-3.52529287650565e+001dB,-1.31881827527956e+000°)
2.29086765276776e+002	(-3.52585395352302e+001dB,-1.34972068346115e+000°)
2.34422881531991e+002	(-3.52644186729844e+001dB,-1.38135625273993e+000°)
2.39883291901947e+002	(-3.52705792121100e+001dB,-1.41374304664448e+000°)
2.45470891568501e+002	(-3.52770348387897e+001dB,-1.44689962387597e+000°)
2.51188643150956e+002	(-3.52837999261557e+001dB,-1.48084505565823e+000°)
2.57039578276885e+002	(-3.52908895708659e+001dB,-1.51559894397231e+000°)
2.63026799189536e+002	(-3.52983196318325e+001dB,-1.55118144073794e+000°)
2.69153480392690e+002	(-3.53061067712495e+001dB,-1.58761326801105e+000°)
