Time (s),Channel 1 (V),Channel 2 (V)
-0.0024366064453125,0.6038643980049077,-0.717976928486067
-0.0024359814453125,0.6087003647807493,-0.7699114548686624
-0.0024353564453125,0.6183722983324347,-0.7854918127834221
-0.0024347314453125,0.6135363315565932,-0.7283638337625671
-0.0024341064453125,0.6280442318841246,-0.6504620441886385
-0.0024334814453125,0.6280442318841246,-0.7075900232094935
-0.0024328564453125,0.6280442318841246,-0.7335572864008291
-0.0024322314453125,0.6425521322116495,-0.7127834758477909
-0.0024316064453125,0.6425521322116561,-0.68162276001821
-0.0024309814453125,0.6473880989875043,-0.7595245495921338
-0.0024303564453125,0.6570600325391875,-0.7491376443156148
-0.0024297314453125,0.6618959993150313,-0.7699114548686624
-0.0024291064453125,0.6667319660908751,-0.7179769284860433
-0.0024284814453125,0.6618959993150313,-0.7647180022304004
-0.0024278564453125,0.6764038996425562,-0.7906852654216983
-0.0024272314453125,0.6764038996425628,-0.6764293073799481
-0.0024266064453125,0.6812398664184044,-0.6764293073799481
-0.0024259814453125,0.6957477667459381,-0.6972031179329957
-0.0024253564453125,0.6909117999700987,-0.6556554968268911
-0.0024247314453125,0.7005837335217818,-0.6348816862738529
-0.0024241064453125,0.7054197002976257,-0.6972031179329957
-0.0024234814453125,0.7054197002976257,-0.6504620441886385
-0.0024228564453125,0.7150916338493133,-0.6712358547416862
-0.0024222314453125,0.7102556670734718,-0.7231703811242816
-0.0024216064453125,0.724763567401001,-0.6660424021034242
-0.0024209814453125,0.7247635674010032,-0.7179769284860622
-0.0024203564453125,0.7295995341768448,-0.7595245495921386
-0.0024197314453125,0.739271467728528,-0.6660424021034597
-0.0024191064453125,0.7295995341768448,-0.7439441916773528
-0.0024184814453125,0.7441074345043762,-0.6764293073799481
-0.0024178564453125,0.7489434012802201,-0.5725602546147099
-0.0024172314453125,0.7489434012802201,-0.6868162126564719
-0.0024166064453125,0.7586153348319032,-0.5933340651678002
-0.0024159814453125,0.7586153348319077,-0.5465929914234005
-0.0024153564453125,0.7634513016077538,-0.6400751389120864
-0.0024147314453125,0.7682872683835954,-0.5777537072529719
-0.0024141064453125,0.7682872683835998,-0.5258191808703883
-0.0024134814453125,0.777959201935283,-0.6037209704442814
-0.0024128564453125,0.7731232351594391,-0.5985275178060195
-0.0024122314453125,0.7876311354869641,-0.5206257282321264
-0.0024116064453125,0.7876311354869706,-0.6141078757208053
-0.0024109814453125,0.7876311354869706,-0.650462044188622
-0.0024103564453125,0.7973030690386583,-0.5569798966999243
-0.0024097314453125,0.7924671022628189,-0.6868162126564507
-0.0024091064453125,0.8021390358145021,-0.6400751389121148
-0.0024084814453125,0.8069750025903459,-0.5310126335086147
-0.0024078564453125,0.8118109693661898,-0.6193013283590671
-0.0024072314453125,0.8166469361420335,-0.6296882336355909
-0.0024066064453125,0.811810969366192,-0.5154322755938811
-0.0024059814453125,0.8263188696937213,-0.6141078757208053
-0.0024053564453125,0.8263188696937213,-0.6244947809973243
-0.0024047314453125,0.8263188696937213,-0.5310126335086147
-0.0024041064453125,0.8359908032454066,-0.5465929914234335
-0.0024034814453125,0.831154836469565,-0.6193013283590671
-0.0024028564453125,0.8408267700212527,-0.5569798966999243
-0.0024022314453125,0.8456627367970965,-0.4998519176790434
-0.0024016064453125,0.8456627367970965,-0.6089144230825433
-0.0024009814453125,0.8504987035729381,-0.6089144230825433
-0.0024003564453125,0.8504987035729403,-0.5310126335086147
-0.0023997314453125,0.8601706371246279,-0.5362060861468861
-0.0023991064453125,0.8601706371246279,-0.5569798966999243
-0.0023984814453125,0.8601706371246324,-0.5569798966998653
-0.0023978564453125,0.8698425706763155,-0.4271435807433767
-0.0023972314453125,0.8601706371246279,-0.4479173912964243
-0.0023966064453125,0.8746785374521594,-0.4531108439346863
-0.0023959814453125,0.8746785374521594,-0.3855959596372814
-0.0023953564453125,0.8746785374521594,-0.3752090543607624
-0.0023947314453125,0.884350471003847,-0.4115632228285909
-0.0023941064453125,0.8795145042280077,-0.4531108439346674
-0.0023934814453125,0.8891864377796909,-0.4115632228285909
-0.0023928564453125,0.8891864377796909,-0.4427239386581978
-0.0023922314453125,0.8891864377796909,-0.520625728232091
-0.0023916064453125,0.8988583713313785,-0.4479173912964243
-0.0023909814453125,0.8940224045555369,-0.4894650124025006
-0.0023903564453125,0.9036943381072223,-0.5310126335086147
-0.0023897314453125,0.9036943381072223,-0.4427239386582025
-0.0023891064453125,0.8988583713313785,-0.46349774921121
-0.0023884814453125,0.9133662716589077,-0.4790781071259957
-0.0023878564453125,0.9085303048830662,-0.4790781071259957
-0.0023872314453125,0.9133662716589099,-0.4427239386581624
-0.0023866064453125,0.9182022384347538,-0.3544352438077101
-0.0023859814453125,0.9133662716589099,-0.4115632228285909
-0.0023853564453125,0.9230382052105932,-0.4219501281051101
-0.0023847314453125,0.9182022384347538,-0.3232745279781386
-0.0023841064453125,0.927874171986437,-0.2869203595103218
-0.0023834814453125,0.9278741719864414,-0.3076941700633529
-0.0023828564453125,0.9230382052106042,-0.2973072647867748
-0.0023822314453125,0.9375461055381291,-0.1778578541068053
-0.0023816064453125,0.9327101387622853,-0.2869203595103053
-0.0023809814453125,0.9375461055381291,-0.3284679806164005
-0.0023803564453125,0.9423820723139729,-0.2401792857659481
-0.0023797314453125,0.9423820723139729,-0.3855959596372153
-0.0023791064453125,0.9472180390898167,-0.4427239386581624
-0.0023784814453125,0.9423820723139773,-0.4011763175520955
-0.0023778564453125,0.9520540058656606,-0.46349774921121
-0.0023772314453125,0.9472180390898189,-0.5154322755938125
-0.0023766064453125,0.9520540058656606,-0.4790781071259957
-0.0023759814453125,0.9617259394173482,-0.3959828649138053
-0.0023753564453125,0.9520540058656606,-0.4219501281051148
-0.0023747314453125,0.9617259394173482,-0.3907894122755433
-0.0023741064453125,0.9665619061931898,-0.3232745279781693
-0.0023734814453125,0.9617259394173482,-0.3440483385311862
-0.0023728564453125,0.9713978729690336,-0.2401792857659363
-0.0023722314453125,0.966561906193192,-0.2142120225746386
-0.0023716064453125,0.9713978729690358,-0.1674709488302649
-0.0023709814453125,0.9713978729690358,-0.1311167803624481
-0.0023703564453125,0.966561906193192,-0.1726644014685434
-0.0023697314453125,0.9762338397448752,-0.2038251172981006
-0.0023691064453125,0.966561906193192,-0.1778578541068053
-0.0023684814453125,0.981069806520717,-0.1207298750859503
-0.0023678564453125,0.9810698065207235,-0.2038251172981148
-0.0023672314453125,0.9713978729690423,-0.3076941700633127
-0.0023666064453125,0.9859057732965673,-0.2194054752129005
-0.0023659814453125,0.9810698065207235,-0.2557596436807339
-0.0023653564453125,0.9810698065207235,-0.359628696445972
-0.0023647314453125,0.9859057732965673,-0.3128876227016147
-0.0023641064453125,0.9859057732965673,-0.3076941700633553
-0.0023634814453125,0.9907417400724111,-0.2713400015955195
-0.0023628564453125,0.9810698065207279,-0.2713400015955195
-0.0023622314453125,0.9907417400724111,-0.2609530963189958
-0.0023616064453125,0.9907417400724089,-0.146697138277215
-0.0023609814453125,0.9859057732965673,-0.1051495171711386
-0.0023603564453125,0.995577706848255,-0.07918225397982909
-0.0023597314453125,0.9907417400724111,-0.08956915925635289
-0.0023591064453125,0.9907417400724111,-0.01686082232068623
-0.0023584814453125,0.9955777068482528,0.02468679878539011
-0.0023578564453125,0.9907417400724111,-0.07918225397982909
-0.0023572314453125,0.995577706848255,-0.09476261189459118
-0.0023566064453125,0.995577706848255,-0.04282808551199575
-0.0023559814453125,1.000413673624096,-0.1363102330007337
-0.0023553564453125,0.995577706848255,-0.1882447593833291
-0.0023547314453125,0.9907417400724111,-0.1570840435537577
-0.0023541064453125,1.000413673624099,-0.1051495171711386
-0.0023534814453125,0.995577706848255,-0.2038251172981148
-0.0023528564453125,1.000413673624096,-0.2297923804894125
-0.0023522314453125,1.000413673624099,-0.1259233277241862
-0.0023516064453125,0.9955777068482572,-0.2142120225746221
-0.0023509814453125,1.000413673624099,-0.1778578541068053
-0.0023503564453125,0.9955777068482594,-0.07918225397980783
-0.0023497314453125,1.005249640399943,-0.03244118023547195
-0.0023491064453125,1.000413673624099,-0.01166736968242433
-0.0023484814453125,0.9955777068482572,-0.006473917044164785
-0.0023478564453125,1.005249640399943,0.07662132516802805
-0.0023472314453125,0.9955777068482594,0.1285558515506235
-0.0023466064453125,1.000413673624099,0.08181477780628996
-0.0023459814453125,1.000413673624096,0.0662344198915137
-0.0023453564453125,0.995577706848255,0.08700823044455186
-0.0023447314453125,1.000413673624099,0.08700823044455186
-0.0023441064453125,0.995577706848255,0.003912988232361386
-0.0023434814453125,0.995577706848255,-0.06360189606504338
-0.0023428564453125,1.000413673624096,0.01949334614710931
-0.0023422314453125,0.995577706848255,-0.08437570661809099
-0.0023416064453125,1.000413673624096,-0.1622774961919841
-0.0023409814453125,0.9907417400724111,-0.1259233277241862
-0.0023403564453125,1.000413673624099,-0.06879534870330528
-0.0023397314453125,1.000413673624099,-0.06879534870330528
-0.0023391064453125,0.995577706848255,-0.1259233277241862
-0.0023384814453125,1.005249640399943,-0.04282808551199575
-0.0023378564453125,1.000413673624099,0.0142998935088852
-0.0023372314453125,1.000413673624099,-0.04802153815022932
-0.0023366064453125,1.000413673624099,-0.001280464405900518
-0.0023359814453125,0.995577706848255,0.04026715670024432
-0.0023353564453125,0.995577706848255,0.1493296621036947
-0.0023347314453125,0.995577706848255,0.1804903779332472
-0.0023341064453125,0.995577706848255,0.1389427568271709
