Freq.	V(att)
3.46736850452530e+002	(-3.41450269861577e+001dB,-9.02148248905015e+001°)
3.54813389233574e+002	(-3.39450278313194e+001dB,-9.02198288046516e+001°)
3.63078054770100e+002	(-3.37450287163124e+001dB,-9.02249492749091e+001°)
3.71535229097171e+002	(-3.35450296430140e+001dB,-9.02301890162128e+001°)
3.80189396320559e+002	(-3.33450306133899e+001dB,-9.02355508067401e+001°)
3.89045144994279e+002	(-3.31450316294984e+001dB,-9.02410374893805e+001°)
3.98107170553495e+002	(-3.29450326934947e+001dB,-9.02466519732429e+001°)
4.07380277804111e+002	(-3.27450338076359e+001dB,-9.02523972351975e+001°)
4.16869383470333e+002	(-3.25450349742852e+001dB,-9.02582763214548e+001°)
4.26579518801591e+002	(-3.23450361959173e+001dB,-9.02642923491804e+001°)
4.36515832240164e+002	(-3.21450374751234e+001dB,-9.02704485081480e+001°)
4.46683592150961e+002	(-3.19450388146169e+001dB,-9.02767480624300e+001°)
4.57088189614873e+002	(-3.17450402172392e+001dB,-9.02831943521291e+001°)
4.67735141287196e+002	(-3.15450416859653e+001dB,-9.02897907951483e+001°)
4.78630092322636e+002	(-3.13450432239108e+001dB,-9.02965408890039e+001°)
4.89778819368444e+002	(-3.11450448343380e+001dB,-9.03034482126793e+001°)
5.01187233627270e+002	(-3.09450465206627e+001dB,-9.03105164285228e+001°)
5.12861383991362e+002	(-3.07450482864619e+001dB,-9.03177492841896e+001°)
5.24807460249770e+002	(-3.05450501354814e+001dB,-9.03251506146285e+001°)
5.37031796370250e+002	(-3.03450520716431e+001dB,-9.03327243441154e+001°)
5.49540873857622e+002	(-3.01450540990540e+001dB,-9.03404744883339e+001°)
5.62341325190346e+002	(-2.99450562220146e+001dB,-9.03484051565046e+001°)
5.75439937337154e+002	(-2.97450584450281e+001dB,-9.03565205535635e+001°)
5.88843655355586e+002	(-2.95450607728100e+001dB,-9.03648249823916e+001°)
6.02559586074355e+002	(-2.93450632102979e+001dB,-9.03733228460966e+001°)
6.16595001861479e+002	(-2.91450657626623e+001dB,-9.03820186503470e+001°)
6.30957344480190e+002	(-2.89450684353170e+001dB,-9.03909170057612e+001°)
6.45654229034652e+002	(-2.87450712339315e+001dB,-9.04000226303519e+001°)
6.60693448007592e+002	(-2.85450741644422e+001dB,-9.04093403520281e+001°)
6.76082975391978e+002	(-2.83450772330652e+001dB,-9.04188751111542e+001°)
6.91830970918933e+002	(-2.81450804463097e+001dB,-9.04286319631698e+001°)
7.07945784384134e+002	(-2.79450838109918e+001dB,-9.04386160812697e+001°)
7.24435960074986e+002	(-2.77450873342486e+001dB,-9.04488327591473e+001°)
7.41310241300914e+002	(-2.75450910235538e+001dB,-9.04592874138009e+001°)
7.58577575029180e+002	(-2.73450948867332e+001dB,-9.04699855884055e+001°)
7.76247116628688e+002	(-2.71450989319815e+001dB,-9.04809329552525e+001°)
7.94328234724277e+002	(-2.69451031678797e+001dB,-9.04921353187564e+001°)
8.12830516164095e+002	(-2.67451076034129e+001dB,-9.05035986185329e+001°)
8.31763771102666e+002	(-2.65451122479902e+001dB,-9.05153289325474e+001°)
8.51138038202372e+002	(-2.63451171114639e+001dB,-9.05273324803380e+001°)
8.70963589956076e+002	(-2.61451222041505e+001dB,-9.05396156263128e+001°)
8.91250938133741e+002	(-2.59451275368530e+001dB,-9.05521848831241e+001°)
9.12010839355905e+002	(-2.57451331208835e+001dB,-9.05650469151217e+001°)
9.33254300796986e+002	(-2.55451389680872e+001dB,-9.05782085418860e+001°)
9.54992586021431e+002	(-2.53451450908677e+001dB,-9.05916767418438e+001°)
9.77237220955805e+002	(-2.51451515022132e+001dB,-9.06054586559678e+001°)
9.99999999999994e+002	(-2.49451582157239e+001dB,-9.06195615915631e+001°)
1.02329299228075e+003	(-2.47451652456413e+001dB,-9.06339930261412e+001°)
1.04712854805089e+003	(-2.45451726068779e+001dB,-9.06487606113842e+001°)
1.07151930523760e+003	(-2.43451803150494e+001dB,-9.06638721772019e+001°)
1.09647819614318e+003	(-2.41451883865072e+001dB,-9.06793357358829e+001°)
1.12201845430196e+003	(-2.39451968383736e+001dB,-9.06951594863425e+001°)
1.14815362149688e+003	(-2.37452056885778e+001dB,-9.07113518184695e+001°)
1.17489755493952e+003	(-2.35452149558944e+001dB,-9.07279213175744e+001°)
1.20226443461741e+003	(-2.33452246599826e+001dB,-9.07448767689410e+001°)
1.23026877081237e+003	(-2.31452348214284e+001dB,-9.07622271624841e+001°)
1.25892541179416e+003	(-2.29452454617882e+001dB,-9.07799816975154e+001°)
1.28824955169313e+003	(-2.27452566036345e+001dB,-9.07981497876213e+001°)
1.31825673855640e+003	(-2.25452682706036e+001dB,-9.08167410656527e+001°)
1.34896288259165e+003	(-2.23452804874461e+001dB,-9.08357653888326e+001°)
1.38038426460288e+003	(-2.21452932800793e+001dB,-9.08552328439818e+001°)
1.41253754462275e+003	(-2.19453066756421e+001dB,-9.08751537528663e+001°)
1.44543977074592e+003	(-2.17453207025527e+001dB,-9.08955386776695e+001°)
1.47910838816820e+003	(-2.15453353905690e+001dB,-9.09163984265918e+001°)
1.51356124843620e+003	(-2.13453507708515e+001dB,-9.09377440595803e+001°)
1.54881661891247e+003	(-2.11453668760298e+001dB,-9.09595868941920e+001°)
1.58489319246110e+003	(-2.09453837402715e+001dB,-9.09819385115943e+001°)
1.62181009735892e+003	(-2.07454013993549e+001dB,-9.10048107627037e+001°)
1.65958690743755e+003	(-2.05454198907451e+001dB,-9.10282157744690e+001°)
1.69824365246173e+003	(-2.03454392536732e+001dB,-9.10521659562996e+001°)
1.73780082874936e+003	(-2.01454595292199e+001dB,-9.10766740066444e+001°)
1.77827941003891e+003	(-1.99454807604025e+001dB,-9.11017529197232e+001°)
1.81970085860997e+003	(-1.97455029922663e+001dB,-9.11274159924151e+001°)
1.86208713666286e+003	(-1.95455262719804e+001dB,-9.11536768313073e+001°)
1.90546071796323e+003	(-1.93455506489374e+001dB,-9.11805493599080e+001°)
1.94984459975803e+003	(-1.91455761748590e+001dB,-9.12080478260272e+001°)
1.99526231496887e+003	(-1.89456029039051e+001dB,-9.12361868093294e+001°)
2.04173794466952e+003	(-1.87456308927892e+001dB,-9.12649812290617e+001°)
2.08929613085403e+003	(-1.85456602008991e+001dB,-9.12944463519627e+001°)
2.13796208950222e+003	(-1.83456908904222e+001dB,-9.13245978003545e+001°)
2.18776162394954e+003	(-1.81457230264785e+001dB,-9.13554515604237e+001°)
2.23872113856832e+003	(-1.79457566772584e+001dB,-9.13870239906953e+001°)
2.29086765276776e+003	(-1.77457919141677e+001dB,-9.14193318307029e+001°)
2.34422881531991e+003	(-1.75458288119794e+001dB,-9.14523922098620e+001°)
2.39883291901947e+003	(-1.73458674489922e+001dB,-9.14862226565488e+001°)
2.45470891568501e+003	(-1.71459079071975e+001dB,-9.15208411073906e+001°)
2.51188643150956e+003	(-1.69459502724529e+001dB,-9.15562659167728e+001°)
2.57039578276885e+003	(-1.67459946346651e+001dB,-9.15925158665667e+001°)
2.63026799189536e+003	(-1.65460410879811e+001dB,-9.16296101760836e+001°)
2.69153480392690e+003	(-1.63460897309879e+001dB,-9.16675685122611e+001°)
2.75422870333815e+003	(-1.61461406669222e+001dB,-9.17064110000857e+001°)
2.81838293126443e+003	(-1.59461940038902e+001dB,-9.17461582332586e+001°)
2.88403150312659e+003	(-1.57462498550970e+001dB,-9.17868312851090e+001°)
2.95120922666636e+003	(-1.55463083390876e+001dB,-9.18284517197617e+001°)
3.01995172040199e+003	(-1.53463695799988e+001dB,-9.18710416035648e+001°)
3.09029543251357e+003	(-1.51464337078235e+001dB,-9.19146235167821e+001°)
3.16227766016836e+003	(-1.49465008586871e+001dB,-9.19592205655588e+001°)
3.23593656929626e+003	(-1.47465711751367e+001dB,-9.20048563941645e+001°)
3.31131121482589e+003	(-1.45466448064453e+001dB,-9.20515551975216e+001°)
3.38844156139200e+003	(-1.43467219089285e+001dB,-9.20993417340246e+001°)
3.46736850452529e+003	(-1.41468026462778e+001dB,-9.21482413386578e+001°)
3.54813389233573e+003	(-1.39468871899089e+001dB,-9.21982799364174e+001°)
3.63078054770099e+003	(-1.37469757193267e+001dB,-9.22494840560468e+001°)
3.71535229097170e+003	(-1.35470684225072e+001dB,-9.23018808440896e+001°)
3.80189396320558e+003	(-1.33471654962986e+001dB,-9.23554980792707e+001°)
3.89045144994278e+003	(-1.31472671468398e+001dB,-9.24103641872108e+001°)
3.98107170553494e+003	(-1.29473735900002e+001dB,-9.24665082554828e+001°)
4.07380277804110e+003	(-1.27474850518395e+001dB,-9.25239600490187e+001°)
4.16869383470332e+003	(-1.25476017690896e+001dB,-9.25827500258733e+001°)
4.26579518801589e+003	(-1.23477239896594e+001dB,-9.26429093533554e+001°)
4.36515832240162e+003	(-1.21478519731634e+001dB,-9.27044699245325e+001°)
4.46683592150960e+003	(-1.19479859914756e+001dB,-9.27674643751192e+001°)
4.57088189614871e+003	(-1.17481263293094e+001dB,-9.28319261007575e+001°)
4.67735141287194e+003	(-1.15482732848255e+001dB,-9.28978892746987e+001°)
4.78630092322634e+003	(-1.13484271702683e+001dB,-9.29653888658949e+001°)
4.89778819368442e+003	(-1.11485883126326e+001dB,-9.30344606575107e+001°)
5.01187233627268e+003	(-1.09487570543625e+001dB,-9.31051412658643e+001°)
5.12861383991361e+003	(-1.07489337540828e+001dB,-9.31774681598074e+001°)
5.24807460249768e+003	(-1.05491187873658e+001dB,-9.32514796805551e+001°)
5.37031796370248e+003	(-1.03493125475342e+001dB,-9.33272150619747e+001°)
5.49540873857620e+003	(-1.01495154465029e+001dB,-9.34047144513452e+001°)
5.62341325190344e+003	(-9.94972791566009e+000dB,-9.34840189305974e+001°)
5.75439937337152e+003	(-9.74995040679124e+000dB,-9.35651705380452e+001°)
5.88843655355584e+003	(-9.55018339304638e+000dB,-9.36482122906215e+001°)
6.02559586074353e+003	(-9.35042736995419e+000dB,-9.37331882066266e+001°)
6.16595001861477e+003	(-9.15068285648426e+000dB,-9.38201433290044e+001°)
6.30957344480188e+003	(-8.95095039616022e+000dB,-9.39091237491554e+001°)
6.45654229034650e+003	(-8.75123055822611e+000dB,-9.40001766313011e+001°)
6.60693448007590e+003	(-8.55152393886862e+000dB,-9.40933502374098e+001°)
6.76082975391976e+003	(-8.35183116249793e+000dB,-9.41886939526988e+001°)
6.91830970918931e+003	(-8.15215288308982e+000dB,-9.42862583117244e+001°)
7.07945784384132e+003	(-7.95248978559239e+000dB,-9.43860950250732e+001°)
7.24435960074984e+003	(-7.75284258740020e+000dB,-9.44882570066685e+001°)
7.41310241300911e+003	(-7.55321203989928e+000dB,-9.45927984017052e+001°)
7.58577575029177e+003	(-7.35359893008657e+000dB,-9.46997746152273e+001°)
7.76247116628685e+003	(-7.15400408226720e+000dB,-9.48092423413620e+001°)
7.94328234724275e+003	(-6.95442835983368e+000dB,-9.49212595932250e+001°)
8.12830516164092e+003	(-6.75487266713087e+000dB,-9.50358857335121e+001°)
8.31763771102664e+003	(-6.55533795141107e+000dB,-9.51531815057909e+001°)
8.51138038202369e+003	(-6.35582520488357e+000dB,-9.52732090665096e+001°)
8.70963589956073e+003	(-6.15633546686344e+000dB,-9.53960320177364e+001°)
8.91250938133738e+003	(-5.95686982602446e+000dB,-9.55217154406472e+001°)
9.12010839355902e+003	(-5.75742942276127e+000dB,-9.56503259297756e+001°)
9.33254300796983e+003	(-5.55801545166634e+000dB,-9.57819316280428e+001°)
9.54992586021428e+003	(-5.35862916412736e+000dB,-9.59166022625830e+001°)
9.77237220955802e+003	(-5.15927187105111e+000dB,-9.60544091813813e+001°)
9.99999999999991e+003	(-4.95994494572025e+000dB,-9.61954253907402e+001°)
1.02329299228075e+004	(-4.76064982678953e+000dB,-9.63397255935924e+001°)
1.04712854805089e+004	(-4.56138802142860e+000dB,-9.64873862286764e+001°)
1.07151930523760e+004	(-4.36216110861875e+000dB,-9.66384855105921e+001°)
1.09647819614318e+004	(-4.16297074261143e+000dB,-9.67931034707537e+001°)
1.12201845430195e+004	(-3.96381865655669e+000dB,-9.69513219992572e+001°)
1.14815362149687e+004	(-3.76470666631028e+000dB,-9.71132248876799e+001°)
1.17489755493952e+004	(-3.56563667442844e+000dB,-9.72788978728293e+001°)
1.20226443461740e+004	(-3.36661067436014e+000dB,-9.74484286814577e+001°)
1.23026877081237e+004	(-3.16763075484670e+000dB,-9.76219070759608e+001°)
1.25892541179416e+004	(-2.96869910453969e+000dB,-9.77994249010769e+001°)
1.28824955169312e+004	(-2.76981801684826e+000dB,-9.79810761316022e+001°)
1.31825673855640e+004	(-2.57098989502781e+000dB,-9.81669569211405e+001°)
1.34896288259164e+004	(-2.37221725752256e+000dB,-9.83571656519010e+001°)
1.38038426460287e+004	(-2.17350274357533e+000dB,-9.85518029855613e+001°)
1.41253754462274e+004	(-1.97484911911840e+000dB,-9.87509719152097e+001°)
1.44543977074591e+004	(-1.77625928296029e+000dB,-9.89547778183796e+001°)
1.47910838816819e+004	(-1.57773627328395e+000dB,-9.91633285111913e+001°)
1.51356124843619e+004	(-1.37928327447305e+000dB,-9.93767343036111e+001°)
1.54881661891247e+004	(-1.18090362428345e+000dB,-9.95951080558394e+001°)
1.58489319246110e+004	(-9.82600821378413e-001dB,-9.98185652358370e+001°)
1.62181009735891e+004	(-7.84378533247025e-001dB,-1.00047223977996e+002°)
1.65958690743755e+004	(-5.86240604526125e-001dB,-1.00281205142966e+002°)
1.69824365246173e+004	(-3.88191065747663e-001dB,-1.00520632378625e+002°)
1.73780082874936e+004	(-1.90234142534248e-001dB,-1.00765632182221e+002°)
1.77827941003891e+004	(7.62573473273640e-003dB,-1.01016333963653e+002°)
1.81970085860997e+004	(2.05383920746985e-001dB,-1.01272870109909e+002°)
1.86208713666285e+004	(4.03035544585797e-001dB,-1.01535376050638e+002°)
1.90546071796323e+004	(6.00575498464762e-001dB,-1.01803990324856e+002°)
1.94984459975803e+004	(7.97998425908225e-001dB,-1.02078854648748e+002°)
1.99526231496886e+004	(9.95298709303487e-001dB,-1.02360113984571e+002°)
2.04173794466951e+004	(1.19247045680482e+000dB,-1.02647916610598e+002°)
2.08929613085402e+004	(1.38950748855149e+000dB,-1.02942414192090e+002°)
2.13796208950221e+004	(1.58640332216184e+000dB,-1.03243761853243e+002°)
2.18776162394953e+004	(1.78315115746333e+000dB,-1.03552118250060e+002°)
2.23872113856832e+004	(1.97974386041628e+000dB,-1.03867645644081e+002°)
2.29086765276775e+004	(2.17617394618631e+000dB,-1.04190509976906e+002°)
2.34422881531990e+004	(2.37243356131847e+000dB,-1.04520880945423e+002°)
2.39883291901947e+004	(2.56851446496278e+000dB,-1.04858932077644e+002°)
2.45470891568501e+004	(2.76440800909860e+000dB,-1.05204840809034e+002°)
2.51188643150956e+004	(2.96010511770202e+000dB,-1.05558788559204e+002°)
