Freq.	V(buff)
5.88843655355584e+003	(-9.53277468866727e+000dB,-9.00490686083123e+001°)
6.02559586074353e+003	(-9.33219210506862e+000dB,-9.00501976469808e+001°)
6.16595001861477e+003	(-9.13158202210040e+000dB,-9.00513519870743e+001°)
6.30957344480188e+003	(-8.93094313959720e+000dB,-9.00525321463708e+001°)
6.45654229034650e+003	(-8.73027409571632e+000dB,-9.00537386495606e+001°)
6.60693448007590e+003	(-8.52957346399214e+000dB,-9.00549720280353e+001°)
6.76082975391976e+003	(-8.32883975024772e+000dB,-9.00562328196450e+001°)
6.91830970918931e+003	(-8.12807138935678e+000dB,-9.00575215684208e+001°)
7.07945784384132e+003	(-7.92726674184852e+000dB,-9.00588388242598e+001°)
7.24435960074984e+003	(-7.72642409034747e+000dB,-9.00601851425688e+001°)
7.41310241300911e+003	(-7.52554163583995e+000dB,-9.00615610838646e+001°)
7.58577575029177e+003	(-7.32461749375873e+000dB,-9.00629672133255e+001°)
7.76247116628685e+003	(-7.12364968987636e+000dB,-9.00644041002912e+001°)
7.94328234724275e+003	(-6.92263615599792e+000dB,-9.00658723177069e+001°)
8.12830516164092e+003	(-6.72157472544267e+000dB,-9.00673724415060e+001°)
8.31763771102664e+003	(-6.52046312830403e+000dB,-9.00689050499277e+001°)
8.51138038202369e+003	(-6.31929898647669e+000dB,-9.00704707227624e+001°)
8.70963589956073e+003	(-6.11807980843867e+000dB,-9.00720700405213e+001°)
8.91250938133738e+003	(-5.91680298377609e+000dB,-9.00737035835223e+001°)
9.12010839355902e+003	(-5.71546577743703e+000dB,-9.00753719308856e+001°)
9.33254300796983e+003	(-5.51406532370074e+000dB,-9.00770756594331e+001°)
9.54992586021428e+003	(-5.31259861984737e+000dB,-9.00788153424819e+001°)
9.77237220955802e+003	(-5.11106251951246e+000dB,-9.00805915485247e+001°)
9.99999999999991e+003	(-4.90945372570984e+000dB,-9.00824048397881e+001°)
1.02329299228075e+004	(-4.70776878350538e+000dB,-9.00842557706577e+001°)
1.04712854805089e+004	(-4.50600407232339e+000dB,-9.00861448859611e+001°)
1.07151930523760e+004	(-4.30415579786565e+000dB,-9.00880727190961e+001°)
1.09647819614318e+004	(-4.10221998362303e+000dB,-9.00900397899918e+001°)
1.12201845430195e+004	(-3.90019246195738e+000dB,-9.00920466028904e+001°)
1.14815362149687e+004	(-3.69806886473067e+000dB,-9.00940936439341e+001°)
1.17489755493952e+004	(-3.49584461345697e+000dB,-9.00961813785414e+001°)
1.20226443461740e+004	(-3.29351490895102e+000dB,-9.00983102485579e+001°)
