time	V(buff)	V(n009)
1.908515251297404e-002	-6.472454e-002	2.141776e-001
1.914444380761690e-002	-6.472459e-002	2.521240e-001
1.920373510225975e-002	-6.472458e-002	2.900705e-001
1.926302639690260e-002	-6.472450e-002	3.280169e-001
1.932231769154546e-002	-6.472436e-002	3.659633e-001
1.940951077190260e-002	-6.472434e-002	4.217669e-001
1.949670385225974e-002	-6.472432e-002	4.775705e-001
1.958389693261687e-002	-6.472431e-002	5.333741e-001
1.967109001297401e-002	-6.472430e-002	5.891776e-001
1.975828309333115e-002	-6.472430e-002	6.449812e-001
1.984547617368829e-002	-6.472429e-002	7.007848e-001
1.993266925404542e-002	-6.472430e-002	7.565883e-001
1.998700221775323e-002	-6.472429e-002	7.913614e-001
2.004133518146102e-002	-6.472429e-002	8.261345e-001
2.009566814516883e-002	-6.472428e-002	8.609076e-001
2.015000110887662e-002	-6.472428e-002	8.956807e-001
2.020433407258443e-002	-6.472428e-002	9.304538e-001
2.025866703629222e-002	-6.472428e-002	9.652269e-001
2.031300000000003e-002	-6.472429e-002	1.000000e+000
2.031329808133596e-002	-6.479416e-002	9.998092e-001
2.031359616267189e-002	-6.451887e-002	9.996185e-001
2.031389424400783e-002	-6.389840e-002	9.994277e-001
2.031419232534376e-002	-6.293277e-002	9.992369e-001
2.031449040667970e-002	-6.162196e-002	9.990462e-001
2.031478848801563e-002	-5.996599e-002	9.988554e-001
2.031508656935157e-002	-5.796484e-002	9.986646e-001
2.031579456871798e-002	-5.217077e-002	9.982115e-001
2.031663958388534e-002	-4.437657e-002	9.976707e-001
2.031739378008260e-002	-3.716188e-002	9.971880e-001
2.031832548615150e-002	-2.851480e-002	9.965917e-001
2.031916759034043e-002	-2.128102e-002	9.960527e-001
2.032034450667872e-002	-1.224506e-002	9.952995e-001
2.032201819123077e-002	-1.080232e-003	9.942284e-001
2.032407912504242e-002	1.041398e-002	9.929094e-001
2.032664794561005e-002	2.195326e-002	9.912653e-001
2.032936145311826e-002	3.126311e-002	9.895287e-001
2.033341657980232e-002	4.126016e-002	9.869334e-001
2.033786992355592e-002	4.878077e-002	9.840832e-001
2.034227459657563e-002	5.364858e-002	9.812642e-001
2.034594734069010e-002	5.629195e-002	9.789137e-001
2.035018094772517e-002	5.829912e-002	9.762042e-001
2.035411743043670e-002	5.953888e-002	9.736848e-001
2.035883717692287e-002	6.048956e-002	9.706642e-001
2.037051002043866e-002	6.158260e-002	9.631936e-001
2.039861601255265e-002	6.205626e-002	9.452057e-001
2.042619037121699e-002	6.207139e-002	9.275582e-001
2.045376472988133e-002	6.208311e-002	9.099106e-001
2.048133908854567e-002	6.209142e-002	8.922630e-001
2.050891344721001e-002	6.209633e-002	8.746154e-001
2.053648780587435e-002	6.209784e-002	8.569678e-001
2.056406216453868e-002	6.209594e-002	8.393202e-001
2.059163652320302e-002	6.209064e-002	8.216726e-001
2.065092781784588e-002	6.209063e-002	7.837262e-001
2.071021911248873e-002	6.209063e-002	7.457798e-001
2.076951040713158e-002	6.209063e-002	7.078333e-001
2.082880170177444e-002	6.209063e-002	6.698869e-001
2.088809299641729e-002	6.209062e-002	6.319405e-001
2.094738429106014e-002	6.209062e-002	5.939940e-001
2.100667558570300e-002	6.209062e-002	5.560476e-001
2.108340549641728e-002	6.209062e-002	5.069405e-001
2.116013540713156e-002	6.209061e-002	4.578333e-001
2.123686531784584e-002	6.209060e-002	4.087262e-001
2.131359522856012e-002	6.209057e-002	3.596190e-001
2.139032513927441e-002	6.209053e-002	3.105119e-001
2.146705504998869e-002	6.209048e-002	2.614048e-001
2.154378496070297e-002	6.209043e-002	2.122976e-001
2.158563763927440e-002	6.209039e-002	1.855119e-001
2.162749031784582e-002	6.209041e-002	1.587262e-001
2.166934299641725e-002	6.209049e-002	1.319405e-001
2.171119567498867e-002	6.209063e-002	1.051548e-001
2.175304835356010e-002	6.209082e-002	7.836906e-002
2.179490103213153e-002	6.209108e-002	5.158334e-002
2.183675371070295e-002	6.209140e-002	2.479763e-002
2.185768004998866e-002	6.209072e-002	1.140477e-002
2.187860638927438e-002	6.209013e-002	-1.988088e-003
2.189953272856009e-002	6.208963e-002	-1.538095e-002
2.192045906784581e-002	6.208920e-002	-2.877380e-002
2.194138540713152e-002	6.208886e-002	-4.216666e-002
2.196231174641723e-002	6.208860e-002	-5.555952e-002
2.198323808570294e-002	6.208842e-002	-6.895237e-002
2.203904165713151e-002	6.208902e-002	-1.046667e-001
