Freq.,Vvout
1.66341265037015e+000,-5.71664333773510e-004,-2.52397510943277e-002
1.66724721255104e+000,-5.71664279752187e-004,-2.52979347914593e-002
1.67109061431069e+000,-5.71664225470479e-004,-2.53562526162939e-002
1.67494287602642e+000,-5.71664170944780e-004,-2.54147048780304e-002
1.67880401812254e+000,-5.71664116160624e-004,-2.54732918865811e-002
1.68267406107045e+000,-5.71664061138263e-004,-2.55320139525723e-002
1.68655302538872e+000,-5.71664005847802e-004,-2.55908713873465e-002
1.69044093164324e+000,-5.71663950303706e-004,-2.56498645029643e-002
1.69433780044731e+000,-5.71663894511762e-004,-2.57089936122053e-002
1.69824365246172e+000,-5.71663838463289e-004,-2.57682590285703e-002
1.70215850839493e+000,-5.71663782146716e-004,-2.58276610662827e-002
1.70608238900310e+000,-5.71663725574580e-004,-2.58872000402905e-002
1.71001531509027e+000,-5.71663668736271e-004,-2.59468762662674e-002
1.71395730750840e+000,-5.71663611646256e-004,-2.60066900606153e-002
1.71790838715757e+000,-5.71663554283319e-004,-2.60666417404652e-002
1.72186857498599e+000,-5.71663496658067e-004,-2.61267316236793e-002
1.72583789199018e+000,-5.71663438767608e-004,-2.61869600288521e-002
1.72981635921508e+000,-5.71663380606155e-004,-2.62473272753135e-002
1.73380399775412e+000,-5.71663322183353e-004,-2.63078336831286e-002
1.73780082874935e+000,-5.71663263480876e-004,-2.63684795731013e-002
1.74180687339159e+000,-5.71663204520908e-004,-2.64292652667738e-002
1.74582215292048e+000,-5.71663145277408e-004,-2.64901910864309e-002
1.74984668862464e+000,-5.71663085767736e-004,-2.65512573550994e-002
1.75388050184174e+000,-5.71663025989000e-004,-2.66124643965515e-002
1.75792361395867e+000,-5.71662965925768e-004,-2.66738125353047e-002
1.76197604641161e+000,-5.71662905581898e-004,-2.67353020966260e-002
1.76603782068614e+000,-5.71662844953533e-004,-2.67969334065313e-002
1.77010895831740e+000,-5.71662784061890e-004,-2.68587067917884e-002
1.77418948089014e+000,-5.71662722891537e-004,-2.69206225799182e-002
1.77827941003890e+000,-5.71662661425116e-004,-2.69826810991971e-002
1.78237876744807e+000,-5.71662599679022e-004,-2.70448826786576e-002
1.78648757485203e+000,-5.71662537641682e-004,-2.71072276480915e-002
1.79060585403527e+000,-5.71662475330455e-004,-2.71697163380499e-002
1.79473362683250e+000,-5.71662412720267e-004,-2.72323490798469e-002
1.79887091512876e+000,-5.71662349828476e-004,-2.72951262055597e-002
1.80301774085955e+000,-5.71662286648333e-004,-2.73580480480316e-002
1.80717412601090e+000,-5.71662223171157e-004,-2.74211149408728e-002
1.81134009261958e+000,-5.71662159404664e-004,-2.74843272184628e-002
1.81551566277311e+000,-5.71662095343067e-004,-2.75476852159514e-002
1.81970085860996e+000,-5.71662030984438e-004,-2.76111892692619e-002
1.82389570231961e+000,-5.71661966321061e-004,-2.76748397150916e-002
1.82810021614272e+000,-5.71661901365474e-004,-2.77386368909135e-002
