Freq.	V(vo)/V(Vi)
8.51138038202372e+001	(1.24357083471869e+000dB,-1.57178607798279e+002°)
8.70963589956076e+001	(1.29574958105879e+000dB,-1.56759625091431e+002°)
8.91250938133741e+001	(1.34986872363415e+000dB,-1.56337469168346e+002°)
9.12010839355905e+001	(1.40598186884119e+000dB,-1.55912396907050e+002°)
9.33254300796986e+001	(1.46414284412877e+000dB,-1.55484682924752e+002°)
9.54992586021431e+001	(1.52440561650825e+000dB,-1.55054620018937e+002°)
9.77237220955805e+001	(1.58682420841117e+000dB,-1.54622519589538e+002°)
9.99999999999995e+001	(1.65145261130095e+000dB,-1.54188712041453e+002°)
1.02329299228075e+002	(1.71834469748407e+000dB,-1.53753547166990e+002°)
1.04712854805089e+002	(1.78755413060109e+000dB,-1.53317394508322e+002°)
1.07151930523760e+002	(1.85913427530723e+000dB,-1.52880643700477e+002°)
1.09647819614318e+002	(1.93313810667534e+000dB,-1.52443704795975e+002°)
1.12201845430196e+002	(2.00961811986958e+000dB,-1.52007008572824e+002°)
1.14815362149688e+002	(2.08862624064379e+000dB,-1.51571006828261e+002°)
1.17489755493952e+002	(2.17021373721448e+000dB,-1.51136172661340e+002°)
1.20226443461741e+002	(2.25443113404147e+000dB,-1.50703000748253e+002°)
1.23026877081237e+002	(2.34132812801972e+000dB,-1.50272007615091e+002°)
1.25892541179416e+002	(2.43095350754067e+000dB,-1.49843731913614e+002°)
1.28824955169313e+002	(2.52335507482061e+000dB,-1.49418734706506e+002°)
1.31825673855640e+002	(2.61857957181485e+000dB,-1.48997599769518e+002°)
1.34896288259165e+002	(2.71667260993809e+000dB,-1.48580933918881e+002°)
1.38038426460288e+002	(2.81767860369268e+000dB,-1.48169367373323e+002°)
1.41253754462275e+002	(2.92164070816574e+000dB,-1.47763554161024e+002°)
1.44543977074592e+002	(3.02860076019063e+000dB,-1.47364172582850e+002°)
1.47910838816820e+002	(3.13859922277812e+000dB,-1.46971925744153e+002°)
1.51356124843620e+002	(3.25167513220405e+000dB,-1.46587542168440e+002°)
1.54881661891247e+002	(3.36786604689243e+000dB,-1.46211776507130e+002°)
1.58489319246110e+002	(3.48720799695257e+000dB,-1.45845410360549e+002°)
